wkt_geom,id,left,top,right,bottom,row_index,col_index
"Polygon ((60.0000000000322089 25.58637819992733142, 65.0000000000322018 25.58637819992733142, 65.0000000000322018 20.58637819992733142, 60.0000000000322089 20.58637819992733142, 60.0000000000322089 25.58637819992733142))",1,60,25.5863782,65,20.5863782,0,0
"Polygon ((60.0000000000322089 20.58637819992733142, 65.0000000000322018 20.58637819992733142, 65.0000000000322018 15.58637819992733142, 60.0000000000322089 15.58637819992733142, 60.0000000000322089 20.58637819992733142))",2,60,20.5863782,65,15.5863782,1,0
"Polygon ((60.0000000000322089 15.58637819992733142, 65.0000000000322018 15.58637819992733142, 65.0000000000322018 10.58637819992733142, 60.0000000000322089 10.58637819992733142, 60.0000000000322089 15.58637819992733142))",3,60,15.5863782,65,10.5863782,2,0
"Polygon ((60.0000000000322089 10.58637819992733142, 65.0000000000322018 10.58637819992733142, 65.0000000000322018 5.58637819992733142, 60.0000000000322089 5.58637819992733142, 60.0000000000322089 10.58637819992733142))",4,60,10.5863782,65,5.5863782,3,0
"Polygon ((60.0000000000322089 5.58637819992733142, 65.0000000000322018 5.58637819992733142, 65.0000000000322018 0.58637819992733142, 60.0000000000322089 0.58637819992733142, 60.0000000000322089 5.58637819992733142))",5,60,5.5863782,65,0.5863781999,4,0
"Polygon ((60.0000000000322089 0.58637819992733142, 65.0000000000322018 0.58637819992733142, 65.0000000000322018 -4.41362180007266858, 60.0000000000322089 -4.41362180007266858, 60.0000000000322089 0.58637819992733142))",6,60,0.5863781999,65,-4.4136218,5,0
"Polygon ((65.0000000000322018 25.58637819992733142, 70.0000000000322018 25.58637819992733142, 70.0000000000322018 20.58637819992733142, 65.0000000000322018 20.58637819992733142, 65.0000000000322018 25.58637819992733142))",7,65,25.5863782,70,20.5863782,0,1
"Polygon ((65.0000000000322018 20.58637819992733142, 70.0000000000322018 20.58637819992733142, 70.0000000000322018 15.58637819992733142, 65.0000000000322018 15.58637819992733142, 65.0000000000322018 20.58637819992733142))",8,65,20.5863782,70,15.5863782,1,1
"Polygon ((65.0000000000322018 15.58637819992733142, 70.0000000000322018 15.58637819992733142, 70.0000000000322018 10.58637819992733142, 65.0000000000322018 10.58637819992733142, 65.0000000000322018 15.58637819992733142))",9,65,15.5863782,70,10.5863782,2,1
"Polygon ((65.0000000000322018 10.58637819992733142, 70.0000000000322018 10.58637819992733142, 70.0000000000322018 5.58637819992733142, 65.0000000000322018 5.58637819992733142, 65.0000000000322018 10.58637819992733142))",10,65,10.5863782,70,5.5863782,3,1
"Polygon ((65.0000000000322018 5.58637819992733142, 70.0000000000322018 5.58637819992733142, 70.0000000000322018 0.58637819992733142, 65.0000000000322018 0.58637819992733142, 65.0000000000322018 5.58637819992733142))",11,65,5.5863782,70,0.5863781999,4,1
"Polygon ((65.0000000000322018 0.58637819992733142, 70.0000000000322018 0.58637819992733142, 70.0000000000322018 -4.41362180007266858, 65.0000000000322018 -4.41362180007266858, 65.0000000000322018 0.58637819992733142))",12,65,0.5863781999,70,-4.4136218,5,1
"Polygon ((70.0000000000322018 25.58637819992733142, 75.0000000000322018 25.58637819992733142, 75.0000000000322018 20.58637819992733142, 70.0000000000322018 20.58637819992733142, 70.0000000000322018 25.58637819992733142))",13,70,25.5863782,75,20.5863782,0,2
"Polygon ((70.0000000000322018 20.58637819992733142, 75.0000000000322018 20.58637819992733142, 75.0000000000322018 15.58637819992733142, 70.0000000000322018 15.58637819992733142, 70.0000000000322018 20.58637819992733142))",14,70,20.5863782,75,15.5863782,1,2
"Polygon ((70.0000000000322018 15.58637819992733142, 75.0000000000322018 15.58637819992733142, 75.0000000000322018 10.58637819992733142, 70.0000000000322018 10.58637819992733142, 70.0000000000322018 15.58637819992733142))",15,70,15.5863782,75,10.5863782,2,2
"Polygon ((70.0000000000322018 10.58637819992733142, 75.0000000000322018 10.58637819992733142, 75.0000000000322018 5.58637819992733142, 70.0000000000322018 5.58637819992733142, 70.0000000000322018 10.58637819992733142))",16,70,10.5863782,75,5.5863782,3,2
